hs6,description,display_name,product,category,segment,dgcis_segment,in_fed_definition,in_old_fed_analysis,in_telangana_study,in_icea,in_dgcis,in_icrier,world_exports_usd_bn,share_of_world_trade,comments,search_terms
320890,"Paints and varnishes; based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium",Non-aqueous polymer paints,Paints and varnishes,Consumables,Components,Not Included,yes,no,no,yes,no,no,8.65371,0.001842,Included in ICEA,
340391,"Lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), (not containing petroleum oils or oils obtained from bituminous minerals)",Textile treatment lubricants,Lubricants,Consumables,Components,Not Included,yes,no,no,yes,no,no,0.877755,0.000026,Included in ICEA,
350699,"Glues and other adhesives; prepared, n.e.c. in heading no. 3506, not exceeding a net weight of 1kg","Prepared adhesives, small packs",Glues and other adhesives,Consumables,Components,Not Included,yes,no,no,yes,no,no,1.69919,0.000191,Included in ICEA,
390390,"Styrene polymers; in primary forms, n.e.c. in heading no. 3903","Styrene polymers, primary forms",Styrene polymers,Consumables,Components,Not Included,yes,no,no,yes,no,no,3.263603,0.000894,Included in ICEA,
390799,"Polyesters; n.e.c. in heading no. 3907, saturated, in primary forms","Saturated polyesters, primary forms",Polyesters,Consumables,Components,Not Included,yes,no,no,yes,no,no,9.546305,0.002342,Included in ICEA,
390890,"Polyamides; n.e.c. in heading no. 3908, in primary forms","Polyamides, primary forms",Polyamides,Consumables,Components,Not Included,yes,no,no,yes,no,no,3.882947,0.000818,Included in ICEA,
391910,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, in rolls of a width not exceeding 20cm","Self-adhesive film, narrow rolls",Plastic,Consumables,Components,Not Included,yes,no,no,yes,no,no,7.409683,0.001357,Included in ICEA,
391990,"Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, other than in rolls of a width not exceeding 20cm",Self-adhesive plastic sheet,Plastic,Consumables,Components,Not Included,yes,no,no,yes,no,no,16.916633,0.003661,Included in ICEA,
392099,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","Plastic film, other polymers",Camera Lens,Consumables,Components,Not Included,yes,no,no,yes,no,no,6.653554,0.001577,Included in ICEA,
392329,"Plastics; sacks and bags (including cones), for the conveyance or packing of goods, of plastics other than ethylene polymers","Plastic bags, non-ethylene",Plastic,Consumables,Components,Not Included,yes,no,no,yes,no,no,6.436302,0.001223,Included in ICEA,
392350,"Plastics; stoppers, lids, caps and other closures, for the conveyance or packing of goods",Plastic caps and closures,Plastic,Consumables,Components,Not Included,yes,no,no,yes,no,no,10.239862,0.001961,Included in ICEA,
